Sigla da Cidade,Nome da Cidade,UF do Estado,Nome curto Empresa,Slug,Nome longo Empresa,Coordenadas,Input_Maximum,Input_Average,Input_Current,Output_Maximum,Output_Average,Output_Current,Extraction_Date
sp,São Paulo,SP,PIX Nic.Br,nic,,"36,169 36,84 66,84 66,169","508450,00","247630,00","490650,00","252890,00","144630,00","169640,00",2024-08-26
sp,São Paulo,SP,PIX Telium,telium,,"102,169 102,84 132,84 132,169","92050,00","56670,00","83330,00","663610,00","406840,00","606160,00",2024-08-26
sp,São Paulo,SP,PIX SAMMCCR,sammccr,,"171,168 171,83 201,83 201,168","59390,00","33230,00","49020,00","349830,00","216660,00","324660,00",2024-08-26
sp,São Paulo,SP,PIX USP,usp,,"236,169 236,84 266,84 266,169","26470,00","4760,00","17730,00","28790,00","7860,00","18290,00",2024-08-26
sp,São Paulo,SP,PIX Claro,claro,,"299,168 299,83 329,83 329,168","62010,00","36880,00","57550,00","222700,00","138340,00","211030,00",2024-08-26
sp,São Paulo,SP,PIX ASAP,asap,,"368,169 368,84 398,84 398,169","25000,00","15220,00","24490,00","154820,00","89590,00","151960,00",2024-08-26
sp,São Paulo,SP,PIX Algar PIAF,algar-piaf,,"432,169 432,84 462,84 462,169","72350,00","47580,00","66770,00","415330,00","240010,00","363790,00",2024-08-26
sp,São Paulo,SP,PIX BR.Digital,brdigital,,"499,169 499,84 529,84 529,169","30,00","0,00","0,00","0,00","0,00","0,00",2024-08-26
sp,São Paulo,SP,PIX Americanet,americanet,,"571,169 571,84 601,84 601,169","7650,00","4960,00","6660,00","26990,00","17320,00","22140,00",2024-08-26
sp,São Paulo,SP,PIX G8,g8,,"644,169 644,84 674,84 674,169","720,00","450,00","720,00","9140,00","4530,00","4880,00",2024-08-26
sp,São Paulo,SP,PIX Matrix,matrix,,"713,169 713,84 743,84 743,169","83160,00","52780,00","77650,00","481320,00","292950,00","431590,00",2024-08-26
sp,São Paulo,SP,PIX Algar-CENESP,algar-cenesp,,"787,169 787,84 817,84 817,169","31960,00","18210,00","28830,00","347970,00","207180,00","303410,00",2024-08-26
sp,São Paulo,SP,PIX EQUINIX-SP4,equinix-sp4,,"858,169 858,84 888,84 888,169","6260000,00","3700000,00","6030000,00","5780000,00","3430000,00","5750000,00",2024-08-26
sp,São Paulo,SP,PIX NIC-JD,nic2,,"927,169 927,84 957,84 957,169","3890000,00","2290000,00","3460000,00","248210,00","167160,00","215590,00",2024-08-26
sp,São Paulo,SP,PIX Cirion,cirion,,"38,349 38,264 68,264 68,349","41140,00","15440,00","28610,00","56370,00","39700,00","47010,00",2024-08-26
sp,São Paulo,SP,PIX Elea-SPO1,elea,,"102,349 102,264 132,264 132,349","150,00","30,00","10,00","21890,00","10390,00","21400,00",2024-08-26
sp,São Paulo,SP,PIX EQUINIX-SP1,equinix-sp1,,"171,348 171,263 201,263 201,348","139430,00","87620,00","131030,00","897390,00","553910,00","826600,00",2024-08-26
sp,São Paulo,SP,PIX GVT JD,gvt-jd,,"236,348 236,263 266,263 266,348","8330,00","5700,00","6740,00","82130,00","44180,00","73750,00",2024-08-26
sp,São Paulo,SP,PIX Tivit,tivit,,"298,348 298,263 328,263 328,348","565850,00","256720,00","395400,00","184230,00","114040,00","165870,00",2024-08-26
sp,São Paulo,SP,PIX Scala,scala,,"367,348 367,263 397,263 397,348","7540,00","4710,00","4580,00","6070,00","2380,00","1430,00",2024-08-26
sp,São Paulo,SP,PIX Ascenty-VIN,ascenty-vin,,"431,349 431,264 461,264 461,349","1090,00","560,00","420,00","620,00","280,00","480,00",2024-08-26
sp,São Paulo,SP,PIX Vogel,vogel,,"499,349 499,264 529,264 529,349","7480,00","4070,00","6070,00","74000,00","40580,00","60560,00",2024-08-26
sp,São Paulo,SP,PIX Eletronet,eletronet,,"571,349 571,264 601,264 601,349","31240,00","18150,00","26990,00","55060,00","35330,00","54970,00",2024-08-26
sp,São Paulo,SP,PIX Equinix-SP3,equinix-sp3,,"643,349 643,264 673,264 673,349","343290,00","170330,00","282280,00","219150,00","152070,00","211130,00",2024-08-26
sp,São Paulo,SP,PIX locaweb,locaweb,,"713,349 713,264 743,264 743,349","19140,00","9360,00","8130,00","12260,00","5190,00","6450,00",2024-08-26
sp,São Paulo,SP,PIX EQUINIX-SP2,equinix-sp2,,"787,349 787,264 817,264 817,349","3700000,00","2250000,00","3440000,00","2960000,00","1870000,00","2880000,00",2024-08-26
sp,São Paulo,SP,PIX Ufinet,ufinet,,"858,349 858,264 888,264 888,349","602530,00","373800,00","553160,00","393830,00","238550,00","351160,00",2024-08-26
sp,São Paulo,SP,PIX TIM,tim,,"933,349 933,264 963,264 963,349","13040,00","7360,00","11540,00","49790,00","22660,00","21260,00",2024-08-26
sp,São Paulo,SP,PIX Odata,odata,,"1002,170,1002,86,1020,86,1020,170","6020,00","3880,00","4560,00","58970,00","33620,00","49860,00",2024-08-26
sp,São Paulo,SP,PIX Ascenty-SP2,ascenty-sp2,,"998,350,997,265,1017,266,1017,349","1490,00","882350,00","1300000,00","756340,00","461250,00","709520,00",2024-08-26
sp,São Paulo,SP,PIX NU-JD,c1-c2,,"458,228,458,210,659,210,659,228","49,06","393,08","10,14","26,86","292,62","3,72",2024-08-26
vix,Vitória,ES,Pix RNP_PRODEST,rnp_prodest,Pix RNP_PRODEST,"32,82,128,176,121,185,160,185,67,89,72,82","14740,00","6030,00","12830,00","2200,00","870,00","1540,00",2024-08-26
vix,Vitória,ES,Pix PRODEST_DINAMICA,prodest_dinamica,Pix PRODEST_DINAMICA,"188,184,283,91,276,82,317,82,220,177,224,184","2480,00","1940,00","2180,00","3570,00","1810,00","3450,00",2024-08-26
